Name,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,NG years,PO years,TO years
"Lopez, Robin",14357750,,,,,,0,0,0
"Love, Kevin",24119025,28942830,31258256,31258256,28942830,,0,0,0
"Lowry, Kyle",31200000,33496296,,,,,0,0,0
"Luwawu-Cabarrot, Timothe",1544951,2529684,,,,,0,0,1
"Lydon, Tyler",1874640,2190720,3831596,,,,0,0,2
"Lyles, Trey",3364249,,,,,,0,0,0
"Mack, Shelvin",1512601,,,,,,0,0,0
"Maker, Thon",2799720,3569643,,,,,0,0,1
"Marjanovic, Boban",7000000,,,,,,0,0,0
"Markkanen, Lauri",4536120,5300400,6731508,,,,0,0,2
"Martin, Jarell",2416222,,,,,,0,0,0
"Mason, Frank",1378242,1618520,,,,,1,0,0
"Matthews, Wesley",18622514,,,,,,0,0,0
"Mbah a Moute, Luc",4320500,,,,,,0,0,0
"McCollum, C.J.",25759766,27556959,29354152,,,,0,0,0
"McConnell, T.J. ",1600520,,,,,,1,0,0
"McDermott, Doug",7333334,7333333,7333333,,,,0,0,0
"McGee, JaVale",1512601,,,,,,0,0,0
"McGruder, Rodney",1544951,,,,,,0,0,0
"McKinnie, Alfonzo",1349383,1588231,,,,,2,0,0
"McLemore, Ben",5460000,,,,,,0,0,0
"Meeks, Jodie",3454500,,,,,,0,0,0
"Mejri, Salah",1512601,,,,,,0,0,0
"Melton, De'Anthony",949000,1416852,,,,,0,0,0
"Metu, Chimezie",838464,1416852,1663861,,,,1,0,0
"Middleton, Khris",13000000,13000000,,,,,0,1,0
"Miles, C.J.",8333333,8730158,,,,,0,1,0
"Miller, Darius",2205000,,,,,,0,0,0
"Mills, Patrick",11571429,12428571,13285714,,,,0,0,0
"Millsap, Paul",29230769,30000000,,,,,0,0,1
"Mirotic, Nikola",12500000,,,,,,0,0,0
"Mitchell, Donovan",3111480,3635760,5195501,,,,0,0,1
"Monk, Malik",3447480,4028400,5345688,,,,0,0,2
"Monroe, Greg",1512601,,,,,,0,0,0
"Moore, Ben",1349383,,,,,,1,0,0
"Moore, E'Twaun",8808685,8664928,,,,,0,0,0
"Morris Sr., Marcus",5375000,,,,,,0,0,0
"Morris, Monte",1349383,1588231,1723707,,,,1,0,0
"Mozgov, Timofey",16000000,16720000,,,,,0,0,0
"Mudiay, Emmanuel",4294480,,,,,,0,0,0
"Murray, Dejounte",1544951,2321735,,,,,0,0,0
"Murray, Jamal",3499800,4444746,,,,,0,0,1
